,Country,Maturity,Df,Spread,Dt,Survival,Hazard,Default,Marginal
3,OMAN,2.0,0.9109012059395228,0.005869,1.0,0.9805488511623914,0.011809798444448327,0.019451148837608567,-0.01164873350619322
4,OMAN,3.0,0.8769802267465086,0.00747,1.0,0.9629310760482239,0.01813062998393811,0.03706892395177608,-0.01761777511416751
5,OMAN,4.0,0.8455898622408221,0.009741,1.0,0.9356788373882318,0.028709541967349428,0.06432116261176823,-0.027252238659992156
6,OMAN,5.0,0.8159266372967575,0.01177455,1.0,0.9034693635931405,0.03503009427711654,0.09653063640685955,-0.032209473795091315
7,OMAN,7.0,0.7603922705995413,0.015095499999999998,2.0,0.8309197550048787,0.04185448752680689,0.1690802449951213,-0.07254960858826176
8,OMAN,10.0,0.6844218351932052,0.017787999999999998,3.0,0.730018209722649,0.043154582387182866,0.26998179027735103,-0.10090154528222972
0,BAHRAIN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,BAHRAIN,0.5,0.9739194619773832,0.006083,0.5,0.9949564001814136,0.010112723393546078,0.005043599818586375,-0.005043599818586375
2,BAHRAIN,1.0,0.950349152147486,0.008308,0.5,0.9862377776920828,0.01760287581943538,0.013762222307917238,-0.008718622489330863
3,BAHRAIN,2.0,0.9109012059395228,0.012580000000000001,1.0,0.9586871560994034,0.028332676587608973,0.04131284390059664,-0.027550621592679403
4,BAHRAIN,3.0,0.8769802267465086,0.015395999999999998,1.0,0.9251728364932689,0.035584232466955024,0.07482716350673113,-0.03351431960613449
5,BAHRAIN,4.0,0.8455898622408221,0.017817000000000003,1.0,0.8862681650805739,0.04296099611997435,0.11373183491942607,-0.038904671412694936
6,BAHRAIN,5.0,0.8159266372967575,0.02050515,1.0,0.838996235101616,0.054813355107955736,0.16100376489838397,-0.047271929978957905
7,BAHRAIN,7.0,0.7603922705995413,0.023672,2.0,0.7514395851266817,0.055107702755714354,0.24856041487331826,-0.08755664997493429
8,BAHRAIN,10.0,0.6844218351932052,0.025838999999999997,3.0,0.641096317730552,0.052937035426359885,0.358903682269448,-0.11034326739612976
