,Date,UAE,QATAR,SAUDI,OMAN,BAHRAIN
3287,10 days,1.999999976481135,4.999999888270452,8.580638244064161,-12.141409321367234,47.08050750000001
3292,7 days,-2.000000071751913,-4.999999947000532,-14.126484058553245,-8.143204591249571,-26.242212300000006
3297,7 days,-2.000000015808709,-4.499999912426858,-3.0226044321846786,-0.5199235614556983,-0.021883800000011888
3302,7 days,-2.0000000173708656,-5.499999949359278,-9.058652186252345,-13.828313270291687,-36.49264729999999
3307,7 days,-4.000000014143929,0.9999999762772518,1.5091201826763267,-9.391352090442354,-20.74109370000002
3312,7 days,1.4196515962794365e-08,0.5000002284286467,1.0064156283987415,6.36082114675753,5.161250199999984
3317,7 days,1.0000000081720657,1.7500000116908154,3.5227877452127956,4.816261861674207,10.347463300000015
3322,7 days,-2.5000000255484167,-1.2499999912248256,-2.516026709458174,13.368856492999782,-15.545655299999993
3327,7 days,1.1074497763274849e-08,-4.000000101295967,-7.542146156342341,-39.00224269758735,-10.342829999999992
3332,7 days,0.5000000201167367,4.000000129313108,4.0218750580128955,2.885759291862314,5.150309700000008
3337,7 days,-3.000000003757272,-6.000000101181286,-9.546264564686439,-3.136894351675437,-15.996042400000022
3342,7 days,4.028873168733682,4.529032938633776,7.554779867724818,-0.6342791270117232,0.7987614000000178
3347,7 days,1.9711268389598047,3.720966920734014,5.002341120166264,25.519038094121072,31.052587499999987
3352,7 days,-2.5000000715586523,-6.250000076708886,-9.052723876838684,-13.184654441997566,-10.4027241
3357,7 days,-1.0000000248648888,-3.500000050618496,1.0055828258348072,-0.28989960597880327,-5.192565500000001
3362,7 days,-1.5000000671641303,-2.5000000449955877,-3.516706621159983,8.925950253488395,5.164265999999998
3367,11 days,-0.9999999619227182,-0.49999993739801596,-1.7572262774985035,-18.140542486616937,10.360942300000033
3372,8 days,2.5479486964741227e-08,1.5000002383593198,5.275662365948946,1.4932700804855585,-2.093176900000003
3377,7 days,0.9999934704210887,1.5000000307389456,7.040851925884368,-0.33270378065509476,10.381435299999964
3382,7 days,3.0000067152299934,0.9999997668249279,2.516767635779644,8.989341567298425,20.300172900000007
3387,8 days,-4.91102166932933e-06,0.9999930655425828,2.014071736293019,4.833310553626234,-8.355867199999977
3392,7 days,1.9551935892536676e-06,-2.499995733342189,-6.039466967998081,-1.2742687818076206,18.780656799999974
3397,7 days,-0.9999998137876176,-1.500000759368362,-1.0055850481164441,-1.474551537588809,-5.77086700000001
3402,7 days,2.00000021430823,-0.9999991315309416,-2.5139061631203106,-10.207331189922797,-18.256534699999975
3407,7 days,-0.999999246943645,0.5000003043855443,2.514414523014807,-7.070924662072741,-3.1315268000000174
3412,7 days,-1.999999639089161,-5.999999267793051,-7.0363779677479386,-13.455505919466134,-29.570864999999998
3417,7 days,-2.500000446677568,-3.441326441588899e-07,1.0053857032426805,4.827581241560097,-8.280785699999996
3422,7 days,1.000000001732758,-4.999999563498399,-9.036035638186476,-3.9338657732378124,-0.011215399999997544
3427,7 days,-7.499999268666535,2.809648549373378e-07,1.5056763674727307,-3.27692817948207,10.322284800000006
3432,7 days,-2.499999751071222,-2.9999994347125636,-1.0028509979753153,6.812633596217438,-10.341989100000006
3437,7 days,3.5000007425802337,3.500000815343256,4.014925129808731,16.032270374184236,31.045083800000015
3442,7 days,-2.590660130863398e-08,-6.220177084514944e-08,-1.0033205367142273,-0.7442517796330321,5.174085100000013
3447,7 days,-1.4999999597024214,-2.9999999127781436,-5.016838620254148,-9.453975559511775,-5.199640400000021
3452,8 days,0.5000000819393904,-0.9999999137933031,0.0006468648168578284,6.754128166234523,-0.015043999999988955
3457,7 days,-6.000000131032351,-5.500000525634455,-6.515721279716239,-12.860776800726569,-25.883605500000016
3462,7 days,-5.000000002289262,-4.999999629454521,-4.005388764698743,-1.3166398011656497,-5.179266600000005
3467,7 days,3.999999955966551,3.999999954623469,6.011708738847034,2.1699996514169584,-0.012742299999985107
3472,7 days,11.99999958682983,12.999999596873103,12.024948477431494,6.681259487125658,15.813254099999995
3477,7 days,-0.9999994732034168,0.25000048733451763,1.5073781760465863,2.5308057034541207,-15.547397000000018
3482,7 days,0.2499997387147488,-1.7500002227177092,-0.7530779357654183,7.592184217900694,-10.343069799999995
3487,7 days,-8.500000080981806,-8.00000008041686,-7.52925773979976,-11.909837453990576,-10.32584799999998
3492,7 days,-0.7499999298614171,-1.4999999832937547,-1.2533836895687358,-2.4282354158447106,-5.156167400000015
3497,7 days,0.5000000812172871,0.5000001049069169,0.5022317529974742,1.31835630868909,-3.0933866000000023
3502,7 days,-3.500000207623252,-4.500000270610933,-4.512002493324971,-10.381925176009759,3.0773478000000125
3507,7 days,2.91297325816231e-07,1.000000270798104,2.0059834011824336,4.575979971835068,-0.008767300000016576
3512,7 days,-0.5050058645973863,0.2449920191423942,3.5060068847868706,-0.22697716409493296,-5.150324999999981
3517,7 days,0.5050057243460202,-0.24499198593148463,-1.4989760812847095,-6.242373422805144,-5.13794230000002
3522,7 days,0.5000000120405161,0.750000017051633,1.5054180105797883,-5.279011570389514,-5.135930399999978
3527,7 days,-5.000000065255946,-4.7500000408002165,-8.521439713018374,-14.37811986846711,-12.8090665
3532,7 days,-1.9999661687811,-2.749999922273709,-5.006489287802594,-6.087362216766934,-5.118606700000015
3537,11 days,-0.500033545011803,-0.24999994591043162,-2.000735778909565,-0.1497349940282504,-2.5605969000000073
3542,8 days,4.999999866034017,4.999999971501197,11.018657265788775,3.1417880048939253,10.218368800000007
